"Id","SalePrice"
1461,114520.123223743
1462,145845.567876355
1463,170641.53788392
1464,192980.087430274
1465,203832.448324606
1466,175546.338487595
1467,185071.449818902
1468,168442.679580552
1469,200795.739715166
1470,120584.905245443
1471,194294.312523515
1472,108544.731761243
1473,101140.387700736
1474,152848.630551163
1475,125798.044661663
1476,339968.068586845
1477,255001.072574806
1478,289868.138780982
1479,282118.052662971
1480,442065.260648195
1481,328250.103509425
1482,228174.611676653
1483,171253.436246746
1484,178394.820751781
1485,192964.475507116
1486,199177.00414913
1487,302423.036191609
1488,245902.429709367
1489,184912.421810533
1490,200533.690325235
1491,194952.954096581
1492,92456.7843640675
1493,200436.267797868
1494,288206.033997693
1495,284344.109550879
1496,213416.520995407
1497,181796.424542972
1498,168534.267422974
1499,167118.92002789
1500,155425.627794309
1501,167578.621886503
1502,163335.840493823
1503,257193.388295468
1504,241441.953080616
1505,214965.484625872
1506,190890.394426945
1507,234521.12724582
1508,190906.755125212
1509,161386.889801917
1510,140886.539411515
1511,144843.749231049
1512,165439.423329183
1513,151009.936372571
1514,150340.277280136
1515,195614.654307949
1516,151774.676055899
1517,169379.632760403
1518,136514.866751299
1519,210499.804199692
1520,126251.615272193
1521,125532.902916996
1522,174350.256521466
1523,107442.954116573
1524,120142.012747793
1525,116446.473461404
1526,114161.447673844
1527,111021.242780352
1528,147735.243242379
1529,139138.647992204
1530,196259.11741165
1531,119318.181132756
1532,102642.187828184
1533,140945.521563511
1534,129962.931777493
1535,137395.264804538
1536,106964.550122611
1537,70066.1851839284
1538,153275.597216406
1539,197821.203350395
1540,100849.739485797
1541,140263.768355179
1542,125809.353418823
1543,172583.458644384
1544,87481.3222980759
1545,121745.925383158
1546,134653.383361015
1547,121440.502653666
1548,129426.661323123
1549,122531.72049173
1550,126633.996325652
1551,115875.340994453
1552,123068.521850152
1553,136272.568065073
1554,125682.335628898
1555,147314.046203188
1556,94090.0020723197
1557,97332.6934423947
1558,107290.597908411
1559,86521.8662595186
1560,137845.434056508
1561,117311.009815634
1562,132336.228304093
1563,119294.276557312
1564,158059.553553744
1565,147728.543625463
1566,231830.973423377
1567,84991.2264921805
1568,215342.9388302
1569,115708.285235978
1570,143899.089980679
1571,121446.947422456
1572,138360.307241289
1573,223495.55403053
1574,123211.536901129
1575,215388.728373157
1576,242406.002549344
1577,187576.001594056
1578,148840.339915781
1579,141671.024743652
1580,199637.800538461
1581,146466.088998063
1582,130547.050789652
1583,286415.297952871
1584,221167.735591076
1585,144950.766263473
1586,77834.7180341392
1587,107268.765373122
1588,141635.580541329
1589,100562.627362179
1590,138301.904155475
1591,91663.8727732126
